family,genus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,identificationRemarks,identifiedBy,previousIdentifications,typeStatus,catalogNumber,occurrenceID,associatedMedia,occurrenceRemarks,recordedBy,basisOfRecord,institutionCode,collectionCode,country,countryCode,stateProvince,county,locality,verbatimLocality,decimalLatitude,decimalLongitude,eventDate,fieldNumber,RDF_path,IMAGE_path,mediaLink
Solanaceae,Solanum,incanum,,Solanum incanum L.,L.,,,Anmin,"
Solanum incanum L.",,P00049860,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00049860,http://imager.mnhn.fr/imager3/w400/media/14413640334502y8NQlPz9xEcymJb,,"Schimper, W.",PreservedSpecimen,MNHN,P,Arabie,sa,,,,Wadi Sel,,,1835-11-28,786,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00049860.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00049860.jpg,http://mediaphoto.mnhn.fr/media/14413640334502y8NQlPz9xEcymJb
Amaranthaceae,Amaranthus,retroflexus,,Amaranthus retroflexus L.,L.,,,[sans signature],"
Amaranthus retroflexus L.",,P00048723,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00048723,http://imager.mnhn.fr/imager3/w400/media/1441404297238Gs6xZmOPbZnuDcnp,l'étiquette porte le code 97-1-5,s.c.,PreservedSpecimen,MNHN,P,France,fr,75 Paris,,,Paris,,,1852-7-1,,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00048723.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00048723.jpg,http://mediaphoto.mnhn.fr/media/1441404297238Gs6xZmOPbZnuDcnp
Fabaceae,Dendrolobium,lanceolatum,,Dendrolobium lanceolatum (Dunn) Schindl.,(Dunn) Schindl.,,,Dy Phon,"
Dendrolobium lanceolatum (Dunn) Schindl.",,P00087938,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00087938,http://imager.mnhn.fr/imager3/w400/media/1441330404699AET4MSCjWGBfRwmA,,"Müller, R.",PreservedSpecimen,MNHN,P,Vietnam,vn,,,,"Annam, Ba-Gieng",,,1939-8-5,1803,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00087938.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00087938.jpg,http://mediaphoto.mnhn.fr/media/1441330404699AET4MSCjWGBfRwmA
Asteraceae,Helichrysum,nudifolium,,Helichrysum nudifolium (L.) Less.,(L.) Less.,,,,"
Helichrysum nudifolium (L.) Less.",,P00042088,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00042088,http://imager.mnhn.fr/imager3/w400/media/1441343153871laSowD92J9IpYF66,,"Dieterlen, A.",PreservedSpecimen,MNHN,P,Basutoland,ls,,,,Léribé,,,,52,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00042088.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00042088.jpg,http://mediaphoto.mnhn.fr/media/1441343153871laSowD92J9IpYF66
Asteraceae,Stoebe,bruniades,,Stoebe bruniades Levyns,Levyns,,,,"
Stoebe bruniades Levyns",,P020764,http://coldb.mnhn.fr/catalognumber/mnhn/p/p020764,http://imager.mnhn.fr/imager3/w400/media/1441342192527P5AHW5VoG78vKKQh,,"Sieber, F.W.",PreservedSpecimen,MNHN,P,Afrique australe,za,,,,Cap de Bonne Espérance,,,,23,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P020764.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P020764.jpg,http://mediaphoto.mnhn.fr/media/1441342192527P5AHW5VoG78vKKQh
Asteraceae,Aspilia,sp.,,Aspilia sp.,,,,,"
Aspilia sp.",,P00069862,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00069862,http://imager.mnhn.fr/imager3/w400/media/1441344877961hzj1pdmvadG0mTX0,,"Whyte, A.",PreservedSpecimen,MNHN,P,Malawi,mw,,,,Fort Hill,,,,,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00069862.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00069862.jpg,http://mediaphoto.mnhn.fr/media/1441344877961hzj1pdmvadG0mTX0
Asteraceae,Gymnanthemum,cinereum,,Gymnanthemum cinereum (L.) H.Rob.,(L.) H.Rob.,,,Funk,"
Vernonia cinerea (L.) Less. | Vernonia cinerea (L.) Less.",,P020225,http://coldb.mnhn.fr/catalognumber/mnhn/p/p020225,http://imager.mnhn.fr/imager3/w400/media/14413421093466boW46BhlC9W5ly6,,"Konneh, P.V.",PreservedSpecimen,MNHN,P,Liberia,lr,,,,"3 miles northeast of Suacoco, Gbarnga, Central Province",,,1951-2-26,132,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P020225.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P020225.jpg,http://mediaphoto.mnhn.fr/media/14413421093466boW46BhlC9W5ly6
Orchidaceae,Angraecum,striatum,,Angraecum striatum Thouars,Thouars,,,Bosser,"
Aa sp.",,P00107203,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00107203,http://imager.mnhn.fr/imager3/w400/media/1441347251378NnBq2bsLqIUuKAhq,,"Cadet, T.",PreservedSpecimen,MNHN,P,La Réunion,re,,,,"Piste Plaine d'Affouches, forêt de la Montagne vers 1300m",,,1968-9-10,1619,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00107203.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00107203.jpg,http://mediaphoto.mnhn.fr/media/1441347251378NnBq2bsLqIUuKAhq
Fabaceae,Vigna,radiata,sublobata,Vigna radiata (L.) R.Wilczek var. sublobata (Roxb.) Verdc.,(Roxb.) Verdc.,varietas,,Labat,,,P00085580,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00085580,http://imager.mnhn.fr/imager3/w400/media/1441342361436PxlOS6Xx3MuPlhtU,,"Bosser, J.",PreservedSpecimen,MNHN,P,Comores,km,,,,"Maouéni, Grande Comore",-11.7,43.41667,1963-5,18075,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00085580.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00085580.jpg,http://mediaphoto.mnhn.fr/media/1441342361436PxlOS6Xx3MuPlhtU
Cyperaceae,Rhynchospora,chinensis,,Rhynchospora chinensis Nees & Meyen,Nees & Meyen,,,,"
Rhynchospora chinensis Nees & Meyen",,P00075969,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00075969,http://imager.mnhn.fr/imager3/w400/media/1441316633728OkyPwDIXVPfU8Ksp,,"Pételot, P.A.",PreservedSpecimen,MNHN,P,Indochine,vn,,,,"Tonkin, Chapa",,,1935-8,5477,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00075969.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00075969.jpg,http://mediaphoto.mnhn.fr/media/1441316633728OkyPwDIXVPfU8Ksp
