family,genus,specificEpithet,infraspecificEpithet,scientificName,scientificNameAuthorship,taxonRank,identificationRemarks,identifiedBy,previousIdentifications,typeStatus,catalogNumber,occurrenceID,associatedMedia,occurrenceRemarks,recordedBy,basisOfRecord,institutionCode,collectionCode,country,countryCode,stateProvince,county,locality,verbatimLocality,decimalLatitude,decimalLongitude,eventDate,fieldNumber,RDF_path,IMAGE_path,mediaLink
Rubiaceae,Tarenna,vignei,subglabra,Tarenna vignei Hutch. & Dalziel var. subglabra Keay,Keay,varietas,det. probable du récolteur,,"
Tarenna vignei Hutch. & Dalziel",,P00101014,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00101014,http://imager.mnhn.fr/imager3/w400/media/1441374644242sz408uy4iHTYcgZJ,FHI 6256,"Enti, A.A.|6256), (FHI",PreservedSpecimen,MNHN,P,Gold Coast,gh,,,,"W.Province, Tarkwa distr., Benso-Subisi F.R.",,,1956-6-20,148,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00101014.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00101014.jpg,http://mediaphoto.mnhn.fr/media/1441374644242sz408uy4iHTYcgZJ
Asteraceae,Cotula,coronopifolia,,Cotula coronopifolia L.,L.,,,,"
Cotula coronopifolia L.",,P00095662,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00095662,http://imager.mnhn.fr/imager3/w400/media/1441343824602T6KBWcAMuktIaahv,,"Maire, C.",PreservedSpecimen,MNHN,P,Afrique australe,za,,,,Cap de Bonne Espérance,,,,,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00095662.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00095662.jpg,http://mediaphoto.mnhn.fr/media/1441343824602T6KBWcAMuktIaahv
Fabaceae,Ophrestia,lyallii,lyallii,Ophrestia lyallii (Benth.) Verdc. subsp. lyallii,(Benth.) Verdc.,subspecies,,Du Puy & Labat,"
Ophrestia lyallii (Benth.) Verdc.",,P0005015,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0005015,http://imager.mnhn.fr/imager3/w400/media/1441333942935mUIqNBHjW1xe0Dni,Reçu en 1946,"Homolle, A.M.",PreservedSpecimen,MNHN,P,Madagascar,mg,,,,,,,,,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P0005015.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P0005015.jpg,http://mediaphoto.mnhn.fr/media/1441333942935mUIqNBHjW1xe0Dni
Asteraceae,Eriocephalus,paniculatus,,Eriocephalus paniculatus Cass.,Cass.,,,,"
Eriocephalus umbellulatus DC. var. glabriusculus DC.",,P00092161,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00092161,http://imager.mnhn.fr/imager3/w400/media/1442408944872FCJyVQAhMK7ivlb2,,"Drège, J.F.",PreservedSpecimen,MNHN,P,Afrique australe,za,,,,Paarl,,,1827,87,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00092161.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00092161.jpg,http://mediaphoto.mnhn.fr/media/1442408944872FCJyVQAhMK7ivlb2
Fabaceae,Cajanus,cajan,,Cajanus cajan (L.) Millsp.,(L.) Millsp.,,,Labat,"
Cajanus cajan (L.) Millsp.",,P0013885,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0013885,http://imager.mnhn.fr/imager3/w400/media/1441335408721RxxvnqVb8tGPC4ZU,,"Humbert, H.|Swingle, C.F.",PreservedSpecimen,MNHN,P,Madagascar,mg,,,,Plateaux de l'Isalo à l'Ouest de Ranohira,-22.63333,45.33333,1928-7-30,4964,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P0013885.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P0013885.jpg,http://mediaphoto.mnhn.fr/media/1441335408721RxxvnqVb8tGPC4ZU
Colchicaceae,Colchicum,arenarium,,Colchicum arenarium Waldst. & Kit.,Waldst. & Kit.,,,Sag,"
Colchicum arenarium Waldst. & Kit.",,P00041718,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00041718,http://imager.mnhn.fr/imager3/w400/media/1441305704833Zdpe70wUJSlLCkEh,,"Gotthard, D.",PreservedSpecimen,MNHN,P,Hongrie,hu,,,,Gödöllö,,,1974-9-9,624,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00041718.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00041718.jpg,http://mediaphoto.mnhn.fr/media/1441305704833Zdpe70wUJSlLCkEh
Ranunculaceae,Thalictrum,minus,,Thalictrum minus L.,L.,,,Sag,"
Thalictrum minus L.",,P00036434,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00036434,http://imager.mnhn.fr/imager3/w400/media/1441342075637dofNgkmSYtJmvzGv,,"Sag, G.",PreservedSpecimen,MNHN,P,France,fr,05 Hautes-Alpes,Orcières,,Orcières,,,1977-7-15,1371,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00036434.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00036434.jpg,http://mediaphoto.mnhn.fr/media/1441342075637dofNgkmSYtJmvzGv
Cyperaceae,Scleria,parvula,,Scleria parvula Steud.,Steud.,,,Kern,"
Scleria parvula Steud.",,P00079776,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00079776,http://imager.mnhn.fr/imager3/w400/media/1441316344713VONqdKsUd0Uiyrl3,,"Mann, G.",PreservedSpecimen,MNHN,P,Inde,in,,,,Mont Khasia,,,,,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00079776.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00079776.jpg,http://mediaphoto.mnhn.fr/media/1441316344713VONqdKsUd0Uiyrl3
Fabaceae,Indigofera,hendecaphylla,,Indigofera hendecaphylla Jacq.,Jacq.,,,Du Puy & Labat,"
Indigofera hendecaphylla Jacq.",,P0007419,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0007419,http://imager.mnhn.fr/imager3/w400/media/14413340474875AxKBpkcPICQD84O,,"Jardin Botanique|Seyrig, A.",PreservedSpecimen,MNHN,P,Madagascar,mg,,,,Befandriana,-15.26667,48.53333,1942-6-20,5213,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P0007419.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P0007419.jpg,http://mediaphoto.mnhn.fr/media/14413340474875AxKBpkcPICQD84O
Moraceae,Ficus,politoria,,Ficus politoria Lam.,Lam.,,,Berg,"
Ficus xiphocuspis Baker",,P00109881,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00109881,http://imager.mnhn.fr/imager3/w400/media/14425928654262yBwXs2FzpllnCRk,,"Baron, R.",PreservedSpecimen,MNHN,P,Madagascar,mg,,,,,,,,1554,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00109881.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00109881.jpg,http://mediaphoto.mnhn.fr/media/14425928654262yBwXs2FzpllnCRk
Brassicaceae,Lepidium,englerianum,,Lepidium englerianum (Muschl.) Al-Shehbaz,(Muschl.) Al-Shehbaz,,,Al-Shehbaz,"
Senebiera integrifolia DC. | Coronopus integrifolius (DC.) Spreng.",,P00047933,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00047933,http://imager.mnhn.fr/imager3/w400/media/1442310202469gFZrIT04OsKxIAoa,,"Commerson, P.",PreservedSpecimen,MNHN,P,Madagascar,mg,,,,,,,,,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00047933.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00047933.jpg,http://mediaphoto.mnhn.fr/media/1442310202469gFZrIT04OsKxIAoa
Asteraceae,Aspilia,chevalieri,,Aspilia chevalieri O.Hoffm. & Muschl.,O.Hoffm. & Muschl.,,,,"
Aspilia chevalieri O.Hoffm. & Muschl.",,P00069101,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00069101,http://imager.mnhn.fr/imager3/w400/media/1441343247492EsB1kHFALMo1jOq1,,"Pobéguin, C.H.O.",PreservedSpecimen,MNHN,P,Guinée,gn,,,,Kouroussa,,,1902-8,990,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00069101.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00069101.jpg,http://mediaphoto.mnhn.fr/media/1441343247492EsB1kHFALMo1jOq1
Orchidaceae,Bulbophyllum,alexandrae,,Bulbophyllum alexandrae Schltr.,Schltr.,,,Bosser,"
Bulbophyllum alexandrae Schltr.",,P00097370,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00097370,http://imager.mnhn.fr/imager3/w400/media/1441306246741MubeMiGlMOVTJlHf,,"Bosser, J.",PreservedSpecimen,MNHN,P,Madagascar,mg,,,,Sud de Moramanga,,,1962-1,15413,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00097370.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00097370.jpg,http://mediaphoto.mnhn.fr/media/1441306246741MubeMiGlMOVTJlHf
Asteraceae,Launaea,taraxacifolia,,Launaea taraxacifolia (Willd.) Amin ex C.Jeffrey,(Willd.) Amin ex C.Jeffrey,,,,"
Launaea taraxacifolia (Willd.) Amin ex C.Jeffrey",,P016162,http://coldb.mnhn.fr/catalognumber/mnhn/p/p016162,http://imager.mnhn.fr/imager3/w400/media/1441343002938KQyNbmbpJYWyLaQh,,"Chevalier, A.J.B.",PreservedSpecimen,MNHN,P,Territoire du Chari,td,,,,Kanem sud. Région Ngouri Mondo,,,1903-10,10184,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P016162.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P016162.jpg,http://mediaphoto.mnhn.fr/media/1441343002938KQyNbmbpJYWyLaQh
Asteraceae,Hypochaeris,maculata,,Hypochaeris maculata L.,L.,,,Retz,"
Hypochaeris maculata L.",,P035249,http://coldb.mnhn.fr/catalognumber/mnhn/p/p035249,http://imager.mnhn.fr/imager3/w400/media/1441358043076BsTL4gPsgdMrWq8P,,"Sag, G.",PreservedSpecimen,MNHN,P,France,fr,05 Hautes-Alpes,Orcières,,Orcières : Forêt de Merlette,,,1979-8-10,3969,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P035249.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P035249.jpg,http://mediaphoto.mnhn.fr/media/1441358043076BsTL4gPsgdMrWq8P
Cyperaceae,Scleria,levis,,Scleria levis Retz.,Retz.,,,,"
Scleria zeylanica Poir.",,P00079574,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00079574,http://imager.mnhn.fr/imager3/w400/media/1442689945041M5NqauRHWLp2f7dZ,,"Sonnerat, P.",PreservedSpecimen,MNHN,P,Inde,in,,,,,,,,,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00079574.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00079574.jpg,http://mediaphoto.mnhn.fr/media/1442689945041M5NqauRHWLp2f7dZ
Fabaceae,Tephrosia,phylloxylon,,Tephrosia phylloxylon (R.Vig.) Du Puy & Labat,(R.Vig.) Du Puy & Labat,,,Du Puy & Labat,"
Mundulea phylloxylon R.Vig.",,P0002827,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0002827,http://imager.mnhn.fr/imager3/w400/media/1442328055470nvyjLadgrAXEasuL,,"Humbert, H.|Swingle, C.F.",PreservedSpecimen,MNHN,P,Madagascar,mg,,,,Plateaux de l'Isalo à l'Ouest de Ranohira,-22.51667,45.28333,1928-7-30,4994,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P0002827.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P0002827.jpg,http://mediaphoto.mnhn.fr/media/1442328055470nvyjLadgrAXEasuL
Pteridophyta,Trichomanes,bipunctatum,,Trichomanes bipunctatum Poir.,Poir.,,,Rakotondrainibe,"
Trichomanes bipunctatum Poir. | Crepidomanes bipunctatum (Poir.) Copel.",,P00064662,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00064662,http://imager.mnhn.fr/imager3/w400/media/1441295661885G7WsUC4VcogD0fLA,,"Rakotondrainibe, F.",PreservedSpecimen,MNHN,P,Madagascar,mg,antsiranana,ambanja,Réserve Spéciale du Manongarivo,,-14.08333,48.28333,1991-10-18,1365,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00064662.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00064662.jpg,http://mediaphoto.mnhn.fr/media/1441295661885G7WsUC4VcogD0fLA
Lamiaceae,Premna,madagascariensis,,Premna madagascariensis Moldenke,Moldenke,,,Moldenke,"
Premna madagascariensis Moldenke",,P00091309,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00091309,http://imager.mnhn.fr/imager3/w400/media/1441453152264I8tlh2ZHUeCmAMuA,,"Baron, R.",PreservedSpecimen,MNHN,P,Madagascar,mg,,,,,,,,5389,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00091309.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00091309.jpg,http://mediaphoto.mnhn.fr/media/1441453152264I8tlh2ZHUeCmAMuA
Ranunculaceae,Clematis,fasciculiflora,,Clematis fasciculiflora Franch.,Franch.,,,,"
Clematis fasciculiflora Franch.",,P00125766,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00125766,http://imager.mnhn.fr/imager3/w400/media/1441325642056Wgz25xDQ3PsFu6Pi,,"Ducloux, F.",PreservedSpecimen,MNHN,P,Chine,cn,,,,Yunnan : environs de Yunnan sen,,,1904-1-27,2295,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00125766.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00125766.jpg,http://mediaphoto.mnhn.fr/media/1441325642056Wgz25xDQ3PsFu6Pi
Siparunaceae,Siparuna,decipiens,,Siparuna decipiens (Tul.) A.DC.,(Tul.) A.DC.,,,Kallunki,"
Siparuna decipiens (Tul.) A.DC.",,P00053070,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00053070,http://imager.mnhn.fr/imager3/w400/media/1441304122456RM56b1ZpcMtZgtK9,"Plants of Brazilian Amazônia, Manaus-Pôrto-Velho highway","Prance, G.T.|Pennington, T.D.|Leppard, M.|Monteiro, O.P.|Ramos, J.F.",PreservedSpecimen,MNHN,P,Brésil,br,amazonas,manaus,,"BR 319, Km. 153, Manaus-Porto Velho Road, between Rio Castanho and Rio Tupana",,,1974-10-10,22780,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00053070.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00053070.jpg,http://mediaphoto.mnhn.fr/media/1441304122456RM56b1ZpcMtZgtK9
Asteraceae,Anisopappus,chinensis,africanus,Anisopappus chinensis (L.) Hook.f. & Arn. subsp. africanus (Hook.f.) Ortiz & Paiva,(Hook.f.) Ortiz & Paiva,subspecies,,,"
Anisopappus chinensis (L.) Hook.f. & Arn.",,P00063697,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00063697,http://imager.mnhn.fr/imager3/w400/media/1441343034580XonKTM7uQaHrAQOL,,"Fotius, G.",PreservedSpecimen,MNHN,P,Cameroun,cm,,,,Hosséré Tcholliré,,,1975-11-10,2405,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00063697.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00063697.jpg,http://mediaphoto.mnhn.fr/media/1441343034580XonKTM7uQaHrAQOL
Fabaceae,Dalbergia,mimosoides,,Dalbergia mimosoides Franch.,Franch.,,,Pham Hoang,"
Dalbergia stenophylla Prain",,P00082445,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00082445,http://imager.mnhn.fr/imager3/w400/media/1441329111636VuRVZH6N4Ci2sHmu,,"Henry, A.",PreservedSpecimen,MNHN,P,Chine,cn,,,,"Ichang, prov. de Hupeh",,,1889-3,4286,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00082445.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00082445.jpg,http://mediaphoto.mnhn.fr/media/1441329111636VuRVZH6N4Ci2sHmu
Orchidaceae,Liparis,loeselii,,Liparis loeselii (L.) Rich.,(L.) Rich.,,,,"
Liparis loeselii (L.) Rich.",,P00081013,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00081013,http://imager.mnhn.fr/imager3/w400/media/14413062658838gU8qOu3P2vEaitG,,"Metmann, R.",PreservedSpecimen,MNHN,P,France,fr,77 Seine-et-Marne,Buthiers,Malesherbes,Loiret - Malesherbes; marais de Buthiers,,,1923-6,,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00081013.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00081013.jpg,http://mediaphoto.mnhn.fr/media/14413062658838gU8qOu3P2vEaitG
Pteridophyta,Blechnum,bakeri,,Blechnum bakeri C.Chr.,C.Chr.,,,Rakotondrainibe,"
Blechnum ivohibense C.Chr. | Blechnum ivohibense C.Chr.",,P00085684,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00085684,http://imager.mnhn.fr/imager3/w400/media/1441301989825DdkQiWozZngbNKw4,,"Rakotondrainibe, F.",PreservedSpecimen,MNHN,P,Madagascar,mg,antsiranana,ambanja,Réserve Spéciale du Manongarivo,,-14.08333,48.28333,1991-10-9,1304,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00085684.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00085684.jpg,http://mediaphoto.mnhn.fr/media/1441301989825DdkQiWozZngbNKw4
Asteraceae,Centrapalus,subaphyllus,,Centrapalus subaphyllus (Baker) H.Rob.,(Baker) H.Rob.,,,Gostel,"
Vernonia subaphylla Baker | Vernonia subaphylla Baker",,P024421,http://coldb.mnhn.fr/catalognumber/mnhn/p/p024421,http://imager.mnhn.fr/imager3/w400/media/14413420848896PReRCDJVZHKldDM,,"Sita, P.",PreservedSpecimen,MNHN,P,Congo,cg,,,,"Région de Kindamba, forêt entre les grottes et le village Meya",,,1966-8-5,1445,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P024421.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P024421.jpg,http://mediaphoto.mnhn.fr/media/14413420848896PReRCDJVZHKldDM
Orchidaceae,Cymbidiella,flabellata,,Cymbidiella flabellata (Thouars) Rolfe,(Thouars) Rolfe,,,Perrier de la Bâthie,"
Cymbidiella flabellata (Thouars) Rolfe",,P00098082,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00098082,http://imager.mnhn.fr/imager3/w400/media/1441306240880oZFDdL2bGB8EhkVC,,"Humblot, L.",PreservedSpecimen,MNHN,P,Madagascar,mg,,,,,,,,382,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00098082.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00098082.jpg,http://mediaphoto.mnhn.fr/media/1441306240880oZFDdL2bGB8EhkVC
Orchidaceae,Liparis,layardii,,Liparis layardii F.Muell.,F.Muell.,,,Hallé,"
Liparis layardii F.Muell.",,P00124735,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00124735,http://imager.mnhn.fr/imager3/w400/media/14413067896342PO3S5JgU0SERWJ7,,"Pancher, J.",PreservedSpecimen,MNHN,P,Nouvelle-Calédonie,nc,,,,,,,,,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00124735.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00124735.jpg,http://mediaphoto.mnhn.fr/media/14413067896342PO3S5JgU0SERWJ7
Asteraceae,Senecio,nanus,,Senecio nanus A.Rich.,A.Rich.,,,,"
Senecio nanus A.Rich.",,P00126159,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00126159,http://imager.mnhn.fr/imager3/w400/media/1441343048280jqzE5VfwxuSWMhPK,,"Schimper, W.",PreservedSpecimen,MNHN,P,Ethiopie,et,,,,Monte Boahit,,,1850-9-30,212,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00126159.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00126159.jpg,http://mediaphoto.mnhn.fr/media/1441343048280jqzE5VfwxuSWMhPK
Pteridophyta,Blechnum,biforme,,Blechnum biforme (Baker) H.Christ,(Baker) H.Christ,,,Rakotondrainibe,"
Blechnum microbasis (Baker) C.Chr. | Blechnum microbasis (Baker) C.Chr. var. biforme (Baker) Tardieu",,P00084577,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00084577,http://imager.mnhn.fr/imager3/w400/media/14413019889657ANgorGeEZwgIxQI,,"Rakotondrainibe, F.",PreservedSpecimen,MNHN,P,Madagascar,mg,Antananarivo,anjozorobe,Forêt d'Andranomay,,-18.48,47.955,1996-12-15,3724,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00084577.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00084577.jpg,http://mediaphoto.mnhn.fr/media/14413019889657ANgorGeEZwgIxQI
Asteraceae,Sigesbeckia,orientalis,,Sigesbeckia orientalis L.,L.,,,,"
Sigesbeckia orientalis L.",,P00069249,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00069249,http://imager.mnhn.fr/imager3/w400/media/1441343390827GXSSa4HYWPbYMvon,,"Sacleux, C.",PreservedSpecimen,MNHN,P,Tanzanie,tz,,,,Champs de Boura,,,1897-8,1881,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00069249.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00069249.jpg,http://mediaphoto.mnhn.fr/media/1441343390827GXSSa4HYWPbYMvon
Cyperaceae,Fimbristylis,eragrostis,,Fimbristylis eragrostis (Nees) Hance,(Nees) Hance,,,Kern,"
Fimbristylis eragrostis (Nees) Hance",,P00045288,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00045288,http://imager.mnhn.fr/imager3/w400/media/1441314009167tabVCNwJU6Cew6tj,,"Talmy, Dr.",PreservedSpecimen,MNHN,P,Indochine,vn,,,,Cochinchine,,,1868,,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00045288.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00045288.jpg,http://mediaphoto.mnhn.fr/media/1441314009167tabVCNwJU6Cew6tj
Fabaceae,Mundulea,micrantha,,Mundulea micrantha R.Vig.,R.Vig.,,,Du Puy & Labat,"
Mundulea micrantha R.Vig.",,P0005303,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0005303,http://imager.mnhn.fr/imager3/w400/media/1441332774604DVbcRA8PaCoKDiIJ,,"Croat, T.B.",PreservedSpecimen,MNHN,P,Madagascar,mg,,,,Tulear: 8 km N of Tulear on road to Morombe,-23.28333,43.65,1975-2-5,30761,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P0005303.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P0005303.jpg,http://mediaphoto.mnhn.fr/media/1441332774604DVbcRA8PaCoKDiIJ
Fabaceae,Indigofera,trita,scabra,Indigofera trita L.f. var. scabra (Roth.) Ali,(Roth.) Ali,varietas,,Du Puy & Labat,"
Indigofera retroflexa Baill.",,P0008227,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0008227,http://imager.mnhn.fr/imager3/w400/media/1442326590405pkXGt89QiTXBh2AO,,"Grandidier, A.",PreservedSpecimen,MNHN,P,Madagascar,mg,,,,Tuléar,-23.35,43.66667,,14,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P0008227.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P0008227.jpg,http://mediaphoto.mnhn.fr/media/1442326590405pkXGt89QiTXBh2AO
Fabaceae,Crotalaria,perrieri,,Crotalaria perrieri R.Vig.,R.Vig.,,,,"
Crotalaria perrieri R.Vig.",,P0012633,http://coldb.mnhn.fr/catalognumber/mnhn/p/p0012633,http://imager.mnhn.fr/imager3/w400/media/1441335221957x5EgZcmOceTsiHI3,,"Peltier, M.",PreservedSpecimen,MNHN,P,Madagascar,mg,,,,Col des Tapias d'Ambositra,-20.25,47.15,1964-2-17,4657,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P0012633.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P0012633.jpg,http://mediaphoto.mnhn.fr/media/1441335221957x5EgZcmOceTsiHI3
Lamiaceae,Calamintha,nepeta,,Calamintha nepeta (L.) Savi,(L.) Savi,,,Sag,"
Calamintha nepeta (L.) Savi",,P00041870,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00041870,http://imager.mnhn.fr/imager3/w400/media/1441380240684mIQ2rHncnMFp6wfu,,"Sag, G.",PreservedSpecimen,MNHN,P,Portugal,pt,,,,Serra da Arrabida,,,1982-10-16,2948,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00041870.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00041870.jpg,http://mediaphoto.mnhn.fr/media/1441380240684mIQ2rHncnMFp6wfu
Apocynaceae,Ceropegia,racemosa,,Ceropegia racemosa N.E.Br.,N.E.Br.,,,Huber,"
Ceropegia angusta N.E.Br.",,P00109676,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00109676,http://imager.mnhn.fr/imager3/w400/media/1442367079729ZCa4ZrVQDutM1ZRS,,"Welwitsch, F.M.J.",PreservedSpecimen,MNHN,P,Angola,ao,,,,Iter Angolense,,,,4276,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00109676.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00109676.jpg,http://mediaphoto.mnhn.fr/media/1442367079729ZCa4ZrVQDutM1ZRS
Melastomataceae,Leandra,adenothrix,,Leandra adenothrix Cogn.,Cogn.,,Fl. Bras. (Martius) 14(4): 165. 1886,Wurdack,,isosyntype,P00116868,http://coldb.mnhn.fr/catalognumber/mnhn/p/p00116868,http://imager.mnhn.fr/imager3/w400/media/1457089871864DtTn1V3OuMaWnNb1,Reçu le 4 mars 1897,"Warming, E.",PreservedSpecimen,MNHN,P,Brésil,br,,,,Lagoa prov.,,,,,/pools/apollon/ummisco/data/db/ecolplus/recolnat/rdf/rdf-0/P00116868.rdf,/pools/apollon/ummisco/data/db/ecolplus/recolnat/images/images-0/P00116868.jpg,http://mediaphoto.mnhn.fr/media/1457089871864DtTn1V3OuMaWnNb1
